"candidate_id","year_guess","county_guess","category_guess","source_file","line_number","matched_line","context"
"real_candidate_00283","2025","Duchesne","Dust / PM / Gravel","Duchesne-County-Planning-Commission-9-3-2025.txt","88","Public Comments","He committed to coordinate with neighbors and the emergency management department before the continued hearing. Public Comments ?  Andrew Olson spoke both for himself and on behalf of Sue Miller, raising concerns about road maintenance, dust, water use, fire safety, ATV use, shooting, and the need for"
"real_candidate_00313","2025","Duchesne","Public Concern / Needs Review","Duchesne-County-TMP_Final_Compressed-2025.txt","3795","contain some damages to at least a smaller area.","good if no commercial vehicles travel on 3000 North to access North Crescent. They should either access from State Street or SR-121. Try to limit how they access may contain some damages to at least a smaller area. 3. 2750 North or Sharmel Acres a. I have received several complaints about this road and commercial vehicle use."
"real_candidate_00315","2025","Duchesne","Traffic / Haul Route","Duchesne-County-TMP_Final_Compressed-2025.txt","3797","a. I have received several complaints about this road and commercial vehicle use.","contain some damages to at least a smaller area. 3. 2750 North or Sharmel Acres a. I have received several complaints about this road and commercial vehicle use. There is one location located on this road and it is just off of 3000 West. This road is small and being damaged severely by the commercial traffic on the road. The corner"
"real_candidate_00303","2024","Duchesne","Dust / PM / Gravel","Duchesne-County-Planning-Commission-Meeting-Minutes-June-26th-2024.txt","168","? Comment: Shared that several million dollars from the county's rainy-day fund","complaints about road impacts and feel an urgent need to address them. ? Mike Gottfredson (Community Development): ? Comment: Shared that several million dollars from the county's rainy-day fund had been used for road repairs this year due to industry impacts. Public Hearing and Comments:"
"real_candidate_00160","2024","Unknown","Noise / Vibration","5-1-24-Final-MGedits.txt","210","","They came in and applied for the permit before because the only permit that had been permitted was the compressor station that was to go in on that site. o Annette Miller asked Hobart Willis if he?d been in contact with them about their noise complaints since?"
"real_candidate_00152","2024","Unknown","Flaring / Emissions","5-1-24-Final-MGedits.txt","41","Department).","generation facilities are allowed and establish standards to mitigate the impacts of such facilities. Findings of Fact (Which can be found on file with the Community Development Department). o Mike Hyde stated the county has received some complaints about a flare gas power"
"real_candidate_00299","2024","Duchesne","Public Concern / Needs Review","Duchesne-County-Planning-Commission-Meeting-Minutes-June-26th-2024.txt","164","complete the ordinance.","? Commissioner Miller: ? Question: Inquired about the urgency from the county commissioners to complete the ordinance. ? Response from Mike Hyde: County commissioners are receiving daily complaints about road impacts and feel an urgent need to address them."
"real_candidate_00136","2023","Duchesne","Dust / PM / Gravel","4-05-23.txt","241","the paved county road and the mining site.  Roosevelt City requests 24/7 dust control by","plan by le?er dated March 22, 2023.  The applicant or authorized agent must follow this plan to control dust at ac?ve mining areas and driving surfaces, including roads between the paved county road and the mining site.  Roosevelt City requests 24/7 dust control by applica?ons of water and/or dust suppressants (such as magnesium chloride) and that if there are any dust complaints received from pilots or the public, the mining opera?ons"
"real_candidate_00109","2023","Unknown","Air Quality / Odor / H2S","10-4-23.txt","570","County nuisance ordinance and Utah air quality rules require 24/7 dust control by","control plan for this location.  The applicant or authorized agent must follow this plan to control dust at active mining areas and driving surfaces, including haul roads.  The County nuisance ordinance and Utah air quality rules require 24/7 dust control by applications of water and/or dust suppressants (such as magnesium chloride).  There will be no rock crushing associated with this operation.  If dust complaints received by"
"real_candidate_00112","2023","Duchesne","Dust / PM / Gravel","10-4-23.txt","573","Duchesne County, TriCounty Health, or DEQ, the mining operations shall cease until the","applications of water and/or dust suppressants (such as magnesium chloride).  There will be no rock crushing associated with this operation.  If dust complaints received by Duchesne County, TriCounty Health, or DEQ, the mining operations shall cease until the event can be mitigated. B. Bond Required: A bond shall be issued in the amount of five thousand dollars ($5,000.00)"
