"candidate_id","year_guess","county_guess","category_guess","source_file","line_number","matched_line","context"
"real_candidate_00283","2025","Duchesne","Dust / PM / Gravel","Duchesne-County-Planning-Commission-9-3-2025.txt","88","Public Comments","He committed to coordinate with neighbors and the emergency management department before the continued hearing. Public Comments ?  Andrew Olson spoke both for himself and on behalf of Sue Miller, raising concerns about road maintenance, dust, water use, fire safety, ATV use, shooting, and the need for"
"real_candidate_00284","2025","Duchesne","Dust / PM / Gravel","Duchesne-County-Planning-Commission-9-3-2025.txt","89","?  Andrew Olson spoke both for himself and on behalf of Sue Miller, raising concerns about","before the continued hearing. Public Comments ?  Andrew Olson spoke both for himself and on behalf of Sue Miller, raising concerns about road maintenance, dust, water use, fire safety, ATV use, shooting, and the need for on-site supervision."
"real_candidate_00285","2025","Duchesne","Dust / PM / Gravel","Duchesne-County-Planning-Commission-9-3-2025.txt","90","road maintenance, dust, water use, fire safety, ATV use, shooting, and the need for","Public Comments ?  Andrew Olson spoke both for himself and on behalf of Sue Miller, raising concerns about road maintenance, dust, water use, fire safety, ATV use, shooting, and the need for on-site supervision. ?  Sue Miller expressed concerns about trespassing, fire risk, dust, and police response"
"real_candidate_00313","2025","Duchesne","Public Concern / Needs Review","Duchesne-County-TMP_Final_Compressed-2025.txt","3795","contain some damages to at least a smaller area.","good if no commercial vehicles travel on 3000 North to access North Crescent. They should either access from State Street or SR-121. Try to limit how they access may contain some damages to at least a smaller area. 3. 2750 North or Sharmel Acres a. I have received several complaints about this road and commercial vehicle use."
"real_candidate_00314","2025","Duchesne","Public Concern / Needs Review","Duchesne-County-TMP_Final_Compressed-2025.txt","3796","3. 2750 North or Sharmel Acres","should either access from State Street or SR-121. Try to limit how they access may contain some damages to at least a smaller area. 3. 2750 North or Sharmel Acres a. I have received several complaints about this road and commercial vehicle use. There is one location located on this road and it is just off of 3000 West. This road is"
"real_candidate_00315","2025","Duchesne","Traffic / Haul Route","Duchesne-County-TMP_Final_Compressed-2025.txt","3797","a. I have received several complaints about this road and commercial vehicle use.","contain some damages to at least a smaller area. 3. 2750 North or Sharmel Acres a. I have received several complaints about this road and commercial vehicle use. There is one location located on this road and it is just off of 3000 West. This road is small and being damaged severely by the commercial traffic on the road. The corner"
"real_candidate_00316","2025","Duchesne","Traffic / Haul Route","Duchesne-County-TMP_Final_Compressed-2025.txt","3798","There is one location located on this road and it is just off of 3000 West. This road is","3. 2750 North or Sharmel Acres a. I have received several complaints about this road and commercial vehicle use. There is one location located on this road and it is just off of 3000 West. This road is small and being damaged severely by the commercial traffic on the road. The corner at the end could be dangerous for a vehicle and a commercial vehicle at the same"
"real_candidate_00317","2025","Duchesne","Traffic / Haul Route","Duchesne-County-TMP_Final_Compressed-2025.txt","3799","small and being damaged severely by the commercial traffic on the road. The corner","a. I have received several complaints about this road and commercial vehicle use. There is one location located on this road and it is just off of 3000 West. This road is small and being damaged severely by the commercial traffic on the road. The corner at the end could be dangerous for a vehicle and a commercial vehicle at the same time."
"real_candidate_00303","2024","Duchesne","Dust / PM / Gravel","Duchesne-County-Planning-Commission-Meeting-Minutes-June-26th-2024.txt","168","? Comment: Shared that several million dollars from the county's rainy-day fund","complaints about road impacts and feel an urgent need to address them. ? Mike Gottfredson (Community Development): ? Comment: Shared that several million dollars from the county's rainy-day fund had been used for road repairs this year due to industry impacts. Public Hearing and Comments:"
"real_candidate_00160","2024","Unknown","Noise / Vibration","5-1-24-Final-MGedits.txt","210","","They came in and applied for the permit before because the only permit that had been permitted was the compressor station that was to go in on that site. o Annette Miller asked Hobart Willis if he?d been in contact with them about their noise complaints since?"
"real_candidate_00161","2024","Unknown","Noise / Vibration","5-1-24-Final-MGedits.txt","211","o Annette Miller asked Hobart Willis if he?d been in contact with them about their noise","been permitted was the compressor station that was to go in on that site. o Annette Miller asked Hobart Willis if he?d been in contact with them about their noise complaints since? ? Hobart Willis answered that they would like to put in soundproof windows into"
"real_candidate_00153","2024","Unknown","Noise / Vibration","5-1-24-Final-MGedits.txt","42","","Findings of Fact (Which can be found on file with the Community Development Department). o Mike Hyde stated the county has received some complaints about a flare gas power generation facility in the county that is existing and is creating noise and vibration"
"real_candidate_00154","2024","Unknown","Noise / Vibration","5-1-24-Final-MGedits.txt","43","o Mike Hyde stated the county has received some complaints about a flare gas power","Department). o Mike Hyde stated the county has received some complaints about a flare gas power generation facility in the county that is existing and is creating noise and vibration issues for some folks in the neighborhood."
"real_candidate_00155","2024","Unknown","Noise / Vibration","5-1-24-Final-MGedits.txt","44","generation facility in the county that is existing and is creating noise and vibration","o Mike Hyde stated the county has received some complaints about a flare gas power generation facility in the county that is existing and is creating noise and vibration issues for some folks in the neighborhood."
"real_candidate_00156","2024","Duchesne","Noise / Vibration","5-1-24-Final-MGedits.txt","45","issues for some folks in the neighborhood.","o Mike Hyde stated the county has received some complaints about a flare gas power generation facility in the county that is existing and is creating noise and vibration issues for some folks in the neighborhood. DUCHESNE COUNTY"
"real_candidate_00162","2024","Unknown","Noise / Vibration","5-1-24-Final-MGedits.txt","212","complaints since?","o Annette Miller asked Hobart Willis if he?d been in contact with them about their noise complaints since? ? Hobart Willis answered that they would like to put in soundproof windows into our homes, and they said they would pay the cost to do it.  They would also like to"
