"candidate_id","confidence_score","county_guess","category_guess","source_file","line_number","matched_line","context"
"candidate_02607","24","Unknown","Air Quality / Odor","September-5-2012.txt","396","July 26, 2012:  TriCounty Health Department inspected the facility and found no H2S","be initiated. July 26, 2012:  TriCounty Health Department inspected the facility and found no H2S gas present.  Their follow-up letter dated August 7, 2012 requested that a public hearing be held to address nuisance odors reported by residents in the area."
"candidate_02608","24","Unknown","Air Quality / Odor","September-5-2012.txt","398","hearing be held to address nuisance odors reported by residents in the area.","July 26, 2012:  TriCounty Health Department inspected the facility and found no H2S gas present.  Their follow-up letter dated August 7, 2012 requested that a public hearing be held to address nuisance odors reported by residents in the area. On August 6, 2012, Integrated Water Management repo rted that they have installed"
"candidate_00768","22","Duchesne","Noise / Vibration","07-11-18.txt","202","3. The applicant shall restrict hours of activity at the junk yard to those permitted by the Noise Disturbance section of the Duchesne County Nuisance Ordinance (7 AM to 9:30 PM).  Mr. Hyde stated there are 2 letters in your packets one from Mr. Taylor stating what his intentions are making sure the surrounding property owners are not affected by his proposal the other one is from an adjoining property owner completely opposed to the Taylors proposal stating if will affect the value of their property.  Mr. Hyde asked if there were any questions of the staff report.  Commissioner?s Lindsay and Moon are concerned about the 6?high dirt berm that is a lot of dirt on that windy bench.","b. Obtain an approval of the facility or an exemption from the Utah DEQ Water Quality Division. 3. The applicant shall restrict hours of activity at the junk yard to those permitted by the Noise Disturbance section of the Duchesne County Nuisance Ordinance (7 AM to 9:30 PM).  Mr. Hyde stated there are 2 letters in your packets one from Mr. Taylor stating what his intentions are making sure the surrounding property owners are not affected by his proposal the other one is from an adjoining property owner completely opposed to the Taylors proposal stating if will affect the value of their property.  Mr. Hyde asked if there were any questions of the staff report.  Commissioner?s Lindsay and Moon are concerned about the 6?high dirt berm that is a lot of dirt on that windy bench. 6 Commissioner  Clark asked if he had any of the permits he will need. Mr. Taylor stated they are working on them.  With no other comments of questions Chairman Wells invited the applicant to speak.  Jeremy and Natalie Taylor, the applicants stated during a power point presentation this property was not going to be a junk yard, just storage for a few cars and supplies mostly for derby cars. He has a home on the next lot to the east that he rents out and they use the property for recreation on the weekends they are in town.  Mr. Taylor hopes to use the back 300 feet of the lot and prefers to use a dirt berm rather than a fence as he has one for the dirt bike trail for his children they keep it watered and it stays crusty. The applicants have indicated they would like a little more time to comply with the conditions of approval.   Mr. Taylor also wonders if he is being singled out or if these rules apply to everyone?  He stated and has photos of many other residences and farmer fields that have a lot more junk on their properties and they don?t have to get a conditional use permit.  Mr. Taylor asked if there were any questions.  Commissioner Lindsay stated a dirt berm would have to be 12? wide at the base to be 6?high.  Commissioner Clark asked if he had a contractor to build the berm. Mr. Taylor replied yes he did."
"candidate_01428","22","Duchesne","Air Quality / Odor","April-3-2013.txt","164","complaints.","was talking about the Pro Water Blue Bench facility  rather than the IWM facility.) Mr. Hyde referred Mr. Pilling to DOGM and Tri-County Health if he has health issues and complaints. Allen Rydman, a property owner stated there has not been any odors since mid-"
"candidate_01429","22","Unknown","Air Quality / Odor","April-3-2013.txt","166","Allen Rydman, a property owner stated there has not been any odors since mid-","complaints. Allen Rydman, a property owner stated there has not been any odors since mid- December. He wonders why, all of a sudden, there are no odors and what is IWM going to do to keep them from returning."
"candidate_01553","22","Unknown","Air Quality / Odor","August-5-2009.txt","92","that the complaint log shows sufficient progress. An additional 30-day period can be","Mr. Hyde stated it is his recommendation to the Planning Commission that the operators of this facility have taken prompt action to control and eliminate odors, and that the complaint log shows sufficient progress. An additional 30-day period can be granted to allow odor control measures to more fully take effect.  The public hearing should be recessed to September 2, 2009 under this option."
"candidate_01639","22","Uintah","Dust / PM","December-1-2021.txt","191","Mr. Hyde noted that there are ?Right to Farm? laws and tools such as Agricultural Protection Zones that can be used to address the incompatibility issues.  Tracy Killian spoke; noting that he has close to 1,000 head of cattle and that residential development south of Roosevelt keeps getting closer.  He is concerned whether this proposed ordinance would affect his operation.  Mr. Hyde indicated that the proposed ordinance would regulate new Large CAFOs; not existing ones.  Commissioner Wells inquired what other counties are doing and could they establish operations near the border that could affect Duchesne County?  Mr. Gottfredson noted that there was a cross-jurisdictional problem at the boundary between Garfield and Piute counties.  A Large CAFO was permitted in Garfield County, located about 500 feet away from the town of Circleville in Piute County.  Mr. Hyde noted that our neighboring counties are considering this issue as well and that any CAFOs in Uintah County would be downwind from Duchesne County; given the prevailing winds.  Brandon Hartman spoke; questioning whether existing animal feeding operations would be able to expand into Large CAFO status if they are located outside of the proposed map area?  The County should not prevent local cattlemen from growing their herds.  Mr. Hyde replied that the proposed ordinance is intended for new Large CAFOs, with feeding occurring at one location as opposed to operations that may have feeding locations spread across several parcels.  Brandon Bench spoke, indicating that the proposed CAFO area is not an area with potential to grow feed and not an area with existing fields that manure could be applied to.  Dustin Lemon spoke and suggested that the ordinance clarify whether change in ownership or operator would jeopardize the grandfathered status of an existing Large CAFO.  Dave Evans spoke and stressed the need of operators to grow to stay solvent and to feed a growing population.  Darrell Gillman spoke and noted that the NRCS no longer recommends the use of anaerobic digesters in many instances.  He encouraged the Commission to table the matter to allow a work group to meet and discuss amending the ordinance and map to address the questions raised tonight.  Chairman Sorensen called for discussion and inquired who among the attendees would be willing to serve on a working group.  The following individuals were appointed to the working group:  Dave Evans, Chet Hansen, Conley Moon, Troy Cooper, Darrell Gillman, Tracy Killian, Tom Henderson and Mali Harrison.  Commissioner Wells made a motion to recess this public hearing until January 5, 2021 to allow time for the working group to meet and make recommendations.  Commissioner Sweat seconded the motion and it passed unanimously.","Mr. Hyde noted that there are ?Right to Farm? laws and tools such as Agricultural Protection Zones that can be used to address the incompatibility issues.  Tracy Killian spoke; noting that he has close to 1,000 head of cattle and that residential development south of Roosevelt keeps getting closer.  He is concerned whether this proposed ordinance would affect his operation.  Mr. Hyde indicated that the proposed ordinance would regulate new Large CAFOs; not existing ones.  Commissioner Wells inquired what other counties are doing and could they establish operations near the border that could affect Duchesne County?  Mr. Gottfredson noted that there was a cross-jurisdictional problem at the boundary between Garfield and Piute counties.  A Large CAFO was permitted in Garfield County, located about 500 feet away from the town of Circleville in Piute County.  Mr. Hyde noted that our neighboring counties are considering this issue as well and that any CAFOs in Uintah County would be downwind from Duchesne County; given the prevailing winds.  Brandon Hartman spoke; questioning whether existing animal feeding operations would be able to expand into Large CAFO status if they are located outside of the proposed map area?  The County should not prevent local cattlemen from growing their herds.  Mr. Hyde replied that the proposed ordinance is intended for new Large CAFOs, with feeding occurring at one location as opposed to operations that may have feeding locations spread across several parcels.  Brandon Bench spoke, indicating that the proposed CAFO area is not an area with potential to grow feed and not an area with existing fields that manure could be applied to.  Dustin Lemon spoke and suggested that the ordinance clarify whether change in ownership or operator would jeopardize the grandfathered status of an existing Large CAFO.  Dave Evans spoke and stressed the need of operators to grow to stay solvent and to feed a growing population.  Darrell Gillman spoke and noted that the NRCS no longer recommends the use of anaerobic digesters in many instances.  He encouraged the Commission to table the matter to allow a work group to meet and discuss amending the ordinance and map to address the questions raised tonight.  Chairman Sorensen called for discussion and inquired who among the attendees would be willing to serve on a working group.  The following individuals were appointed to the working group:  Dave Evans, Chet Hansen, Conley Moon, Troy Cooper, Darrell Gillman, Tracy Killian, Tom Henderson and Mali Harrison.  Commissioner Wells made a motion to recess this public hearing until January 5, 2021 to allow time for the working group to meet and make recommendations.  Commissioner Sweat seconded the motion and it passed unanimously. Planning Commission Minutes December 1, 2021"
"candidate_02059","22","Unknown","Dust / PM","June-4-2014.txt","284","Brett Anderson, an area resident stated his concern s about the traffic and the dust. He","with no one else to speak in favor, anyone in opposition was invited to speak. Brett Anderson, an area resident stated his concern s about the traffic and the dust. He asked Mr. Hyde how long the permit is good for and who to call when there are complaints about the trucks and dust issues. Mr. Hyde replied the permits are good as"
"candidate_02060","22","Unknown","Dust / PM","June-4-2014.txt","286","complaints about the trucks and dust issues. Mr. Hyde replied the permits are good as","Brett Anderson, an area resident stated his concern s about the traffic and the dust. He asked Mr. Hyde how long the permit is good for and who to call when there are complaints about the trucks and dust issues. Mr. Hyde replied the permits are good as long as they follow the conditions for approval. Mr. Hyde stated either the planning office or Nielsen Construction can be notified of a ny complaints. Mr. Anderson stated"
"candidate_02264","22","Unknown","Dust / PM","May-2-2012.txt","519","Lane Larsen, property owner stated there are other sources of dust and it could come","Mr. Miller will do what he needs to so they can work. Lane Larsen, property owner stated there are other sources of dust and it could come from any direction not just this sand and gravel pit. Mr. Larsen is not aware of any other complaints."
"candidate_02265","22","Unknown","Dust / PM","May-2-2012.txt","521","complaints.","Lane Larsen, property owner stated there are other sources of dust and it could come from any direction not just this sand and gravel pit. Mr. Larsen is not aware of any other complaints. Mr. Hyde stated westerly on 10000 south it is under construction and very dusty with a"
"candidate_02536","22","Duchesne","Dust / PM","September-2-2009.txt","557","David Lupold, a Blue Bench resident stated his conc erns with the dust also. This will","JRJ gravel pit that the residents already have to deal with. David Lupold, a Blue Bench resident stated his conc erns with the dust also. This will make three pits in the area with the JRJ pit and the Lex Fabrizio pit across the highway from his home. He is opposed to the approval of the  conditional use permit."
"candidate_02537","22","Duchesne","Dust / PM","September-2-2009.txt","559","from his home. He is opposed to the approval of the  conditional use permit.","David Lupold, a Blue Bench resident stated his conc erns with the dust also. This will make three pits in the area with the JRJ pit and the Lex Fabrizio pit across the highway from his home. He is opposed to the approval of the  conditional use permit. Shelby Cardona, a Blue Bench resident, moved here b ecause it is a beautiful area and"
"candidate_02611","22","Unknown","Air Quality / Odor","September-5-2012.txt","440","Ted Rose, property owner stated his concerns for the community, health issues and","employees and the residents of the area and hope ev eryone can come together. Ted Rose, property owner stated his concerns for the community, health issues and quality of life. Mr. Rose stated there is a fog barrier that stays in the air you can?t breathe it makes you nauseous you can?t enjoy the f resh air in the evening. His family is"
"candidate_02612","22","Unknown","Air Quality / Odor","September-5-2012.txt","441","quality of life. Mr. Rose stated there is a fog barrier that stays in the air you can?t","Ted Rose, property owner stated his concerns for the community, health issues and quality of life. Mr. Rose stated there is a fog barrier that stays in the air you can?t breathe it makes you nauseous you can?t enjoy the f resh air in the evening. His family is not able to stay here because of the smell so he le aves town to spend time with them."
"candidate_01804","21","Unknown","Air Quality / Odor","February-1-2012.txt","143","Nuisances: The mitigation of nuisance factors, such as noise, vibrations, smoke,","Mr. Hyde stated the applicants have no business sign plans as they do not market rock products to the general public. Nuisances: The mitigation of nuisance factors, such as noise, vibrations, smoke, dust, dirt, odors, gases, noxious matter, heat, glare, electromagnetic disturbances and radiation."
"candidate_00706","20","Unknown","Public Concern / Needs Review","06-11-12.txt","121","Commission, after closing the public hearing, voted unanimously to approve the request","2, 2012. Chapman Construction is the applicant; they and the Fitzgerald?s appeared to speak in favor of the request. Mr. Burdette appeared and spoke against. The Planning Commission, after closing the public hearing, voted unanimously to approve the request subject to six conditions that are stated in the attached report. The parties opposed to the permit had 10 days to appeal the decision, which they did. As a result, we have noticed"
"candidate_00707","20","Unknown","Public Concern / Needs Review","06-11-12.txt","124","this public hearing for today; it?s been mailed out and published in the local newspaper as","subject to six conditions that are stated in the attached report. The parties opposed to the permit had 10 days to appeal the decision, which they did. As a result, we have noticed this public hearing for today; it?s been mailed out and published in the local newspaper as required by law."
"candidate_00739","20","Unknown","Public Concern / Needs Review","07-08-13.txt","259","Commission Public Hearing in May, we received testimony from the applicants in favor","Winterton?s want to move their propane business on this property, so they are required to get a conditional use permit to have a business on this property. At the Planning Commission Public Hearing in May, we received testimony from the applicants in favor and a number of folks were against. We received a petition from a number of folks in the area that are opposed to it. At that time, the Planning Commission didn?t have any"
"candidate_00835","20","Unknown","Public Concern / Needs Review","08-27-12.txt","19","Public Comment/Other Business","Chairman Wood offered the prayer. There were no other comments. Public Comment/Other Business Mr. River stated that on August 14, 2012 he filed a complaint about Stacey Williams on an illegal building taking place on lots V-0237, V-0238, and V-0239 in Vista Valley."
"candidate_00836","20","Unknown","Public Concern / Needs Review","08-27-12.txt","20","Mr. River stated that on August 14, 2012 he filed a complaint about Stacey Williams on","Public Comment/Other Business Mr. River stated that on August 14, 2012 he filed a complaint about Stacey Williams on an illegal building taking place on lots V-0237, V-0238, and V-0239 in Vista Valley. There has been a stop work order on that building and he has been here several times to"
"candidate_00848","20","Unknown","Public Concern / Needs Review","08-29-11_Combined.txt","170","Chairman Wood opened up the opportunity for public comment.","do anything we have to hold a public hearing to get public input. Chairman Wood opened up the opportunity for public comment. Mr. Woodland stated that he would like to make a point of clarification on the notice for"
"candidate_01169","20","Uintah","Traffic / Haul Route","4-05-23.txt","377","of this public hearing. It is up to both Duchesne and Uintah Coun?es to determine","a. Mr. Hyde: There is direct access from 2000 West to Highway 40.  The Road Departments of both Duchesne and Uintah Coun?es have not responded to the proposal at the ?me of this public hearing. It is up to both Duchesne and Uintah Coun?es to determine preferred sand haul routes.  The coun?es prefer that trucks stay on Highway 40 as opposed to using county roads."
