index,id,type,date,county,category,source,source_file,source_url,local_source_path,local_source_exists,source_confidence,description,recommended_next_step
2,complaint_003,Air Quality Complaint,2024-06-10,Duchesne,Air Quality,Resident Report,Steward Basin curated complaint archive,complaint_003.html,archive/sources/complaint_records/complaint_003.html,True,needs_source_review,Strong chemical smell reported near residential area.,find_original_county_pdf_or_minutes
3,complaint_004,Truck Traffic Complaint,2024-07-20,Duchesne,Traffic,Resident Report,Steward Basin curated complaint archive,complaint_004.html,archive/sources/complaint_records/complaint_004.html,True,needs_source_review,Residents reported constant overnight truck traffic near homes.,find_original_county_pdf_or_minutes
4,complaint_005,Road Dust Complaint,2024-09-12,Uintah,Dust,Uintah County Public Comment,Steward Basin curated complaint archive,complaint_005.html,archive/sources/complaint_records/complaint_005.html,True,needs_source_review,Residents reported excessive dust from oilfield truck traffic near residential roads.,find_original_county_pdf_or_minutes
5,complaint_006,Compressor Station Noise,2024-11-08,Uintah,Noise,Uintah County Commission,Steward Basin curated complaint archive,complaint_006.html,archive/sources/complaint_records/complaint_006.html,True,needs_source_review,Public testimony described continuous compressor noise during nighttime hours.,find_original_county_pdf_or_minutes
6,complaint_007,Flaring Complaint,2025-01-17,Uintah,Flaring,Citizen Report,Steward Basin curated complaint archive,complaint_007.html,archive/sources/complaint_records/complaint_007.html,True,needs_source_review,Residents reported visible flaring and strong odor near neighborhood.,find_original_county_pdf_or_minutes
7,complaint_008,Heavy Truck Complaint,2025-03-01,Uintah,Traffic,Planning Commission Meeting,Steward Basin curated complaint archive,complaint_008.html,archive/sources/complaint_records/complaint_008.html,True,needs_source_review,Residents reported vibration and noise from increased heavy truck activity.,find_original_county_pdf_or_minutes
10,complaint_011,Industrial Dust Complaint,2025-10-19,Uintah,Dust,Citizen Report,Steward Basin curated complaint archive,complaint_011.html,archive/sources/complaint_records/complaint_011.html,True,needs_source_review,Residents reported persistent fine dust settling on homes near industrial excavation site.,find_original_county_pdf_or_minutes
11,complaint_012,Sand Mine Noise & Dust,2026-02-11,Uintah,Dust,Planning Commission Minutes,Steward Basin curated complaint archive,complaint_012.html,archive/sources/complaint_records/complaint_012.html,True,needs_source_review,Residents reported blasting noise and airborne dust from nearby sand extraction operations.,find_original_county_pdf_or_minutes
14,complaint_015,Mosquito Abatement Chemical Complaint,2025-07-11,Duchesne,Pesticides,Public Comment,Steward Basin curated complaint archive,complaint_015.html,archive/sources/complaint_records/complaint_015.html,True,needs_source_review,Community concerns raised regarding aerial pesticide spraying and potential health impacts.,find_original_county_pdf_or_minutes
16,complaint_2023_higley_lamb_road_haul_route,Truck Traffic / Haul Route Complaint,2023-05-03,Duchesne,Truck Traffic / Dust,Duchesne County Planning Commission record,Steward Basin curated complaint archive,complaint_2023_higley_lamb_road_haul_route.html,archive/sources/complaint_records/complaint_2023_higley_lamb_road_haul_route.html,True,needs_source_review,"Concerns raised about truck haul routes, road damage, and mining-related traffic in the Lamb Road / Higley area.",find_original_county_pdf_or_minutes
17,complaint_2016_quarry_dust_control,Dust Complaint / Quarry Condition,2016-12-07,Duchesne,Dust / Quarry,Duchesne County Planning Commission record,Steward Basin curated complaint archive,complaint_2016_quarry_dust_control.html,archive/sources/complaint_records/complaint_2016_quarry_dust_control.html,True,needs_source_review,County conditions required quarry trucks to control speed on gravel roads to reduce dust impacts.,find_original_county_pdf_or_minutes
18,complaint_2012_pleasant_valley_crusher_dust,Dust / Crusher Complaint,2012-05-02,Duchesne,Dust / PM10,Duchesne County Planning Commission record,Steward Basin curated complaint archive,complaint_2012_pleasant_valley_crusher_dust.html,archive/sources/complaint_records/complaint_2012_pleasant_valley_crusher_dust.html,True,needs_source_review,"Residents raised concerns about dust, crusher activity, truck traffic, asthma impacts, and noncompliance near the Pleasant Valley gravel pit / rock crusher area.",find_original_county_pdf_or_minutes
