complaint_index,id,type,county,description,rank,score,candidate_path,matched_terms,candidate_url_found
2,,Air Quality Complaint,Duchesne,Strong chemical smell reported near residential area.,1,17,archive/sources/complaint_records/003_complaint_003.html,"quality, strong, chemical, smell, residential, duchesne, resident, report, quality, phrase_match",
2,,Air Quality Complaint,Duchesne,Strong chemical smell reported near residential area.,2,10,archive/extracted_text/legacy/00003554.txt,"quality, strong, chemical, smell, residential, duchesne, resident, report, quality, anonymous",
2,,Air Quality Complaint,Duchesne,Strong chemical smell reported near residential area.,3,9,archive/extracted_text/legacy/00001994.txt,"quality, strong, chemical, smell, residential, duchesne, resident, report, quality",
2,,Air Quality Complaint,Duchesne,Strong chemical smell reported near residential area.,4,9,archive/extracted_text/legacy/00002725.txt,"quality, strong, chemical, smell, residential, duchesne, resident, report, quality",
2,,Air Quality Complaint,Duchesne,Strong chemical smell reported near residential area.,5,9,archive/extracted_text/legacy/00003553.txt,"quality, strong, smell, residential, duchesne, resident, report, quality, anonymous",
3,,Truck Traffic Complaint,Duchesne,Residents reported constant overnight truck traffic near homes.,1,19,archive/sources/complaint_records/004_complaint_004.html,"truck, traffic, constant, overnight, truck, traffic, homes, duchesne, resident, report, traffic, phrase_match",
3,,Truck Traffic Complaint,Duchesne,Residents reported constant overnight truck traffic near homes.,2,12,archive/extracted_text/legacy/00004304.txt,"truck, traffic, constant, truck, traffic, homes, duchesne, resident, report, traffic, transportation, anonymous",
3,,Truck Traffic Complaint,Duchesne,Residents reported constant overnight truck traffic near homes.,3,12,archive/extracted_text/legacy/00004307.txt,"truck, traffic, constant, truck, traffic, homes, duchesne, resident, report, traffic, transportation, anonymous",
3,,Truck Traffic Complaint,Duchesne,Residents reported constant overnight truck traffic near homes.,4,12,archive/extracted_text/legacy/00004308.txt,"truck, traffic, constant, truck, traffic, homes, duchesne, resident, report, traffic, transportation, anonymous",
3,,Truck Traffic Complaint,Duchesne,Residents reported constant overnight truck traffic near homes.,5,12,archive/extracted_text/legacy/00004310.txt,"truck, traffic, constant, truck, traffic, homes, duchesne, resident, report, traffic, transportation, anonymous",
4,,Road Dust Complaint,Uintah,Residents reported excessive dust from oilfield truck traffic near residential roads.,1,17,archive/sources/complaint_records/005_complaint_005.html,"excessive, oilfield, truck, traffic, residential, roads, uintah, uintah, comment, phrase_match",
4,,Road Dust Complaint,Uintah,Residents reported excessive dust from oilfield truck traffic near residential roads.,2,9,archive/extracted_text/legacy/00004307.txt,"excessive, truck, traffic, residential, roads, uintah, uintah, comment, anonymous",
4,,Road Dust Complaint,Uintah,Residents reported excessive dust from oilfield truck traffic near residential roads.,3,9,archive/extracted_text/legacy/00004308.txt,"excessive, truck, traffic, residential, roads, uintah, uintah, comment, anonymous",
4,,Road Dust Complaint,Uintah,Residents reported excessive dust from oilfield truck traffic near residential roads.,4,9,archive/extracted_text/legacy/00004310.txt,"excessive, truck, traffic, residential, roads, uintah, uintah, comment, anonymous",
4,,Road Dust Complaint,Uintah,Residents reported excessive dust from oilfield truck traffic near residential roads.,5,9,archive/extracted_text/legacy/00004313.txt,"excessive, truck, traffic, residential, roads, uintah, uintah, comment, anonymous",
5,,Compressor Station Noise,Uintah,Public testimony described continuous compressor noise during nighttime hours.,1,25,archive/sources/complaint_records/006_complaint_006.html,"compressor, station, noise, testimony, described, continuous, compressor, noise, during, nighttime, hours, uintah",
5,,Compressor Station Noise,Uintah,Public testimony described continuous compressor noise during nighttime hours.,2,16,archive/extracted_text/legacy/Duchesne_CRMP_2022.txt,"compressor, station, noise, testimony, described, continuous, compressor, noise, during, hours, uintah, uintah",https://eplanning.blm.gov/epl-front-11
5,,Compressor Station Noise,Uintah,Public testimony described continuous compressor noise during nighttime hours.,3,16,archive/extracted_text/legacy/General-Plan-2024-1.txt,"compressor, station, noise, testimony, described, continuous, compressor, noise, during, hours, uintah, uintah",https://eplanning.blm.gov/epl-front-11
