candidate_id,confidence_score,county_guess,category_guess,source_file,source_path,line_number,matched_terms,review_status,matched_line,context,created_at
candidate_01032,26,Duchesne,Air Quality / Odor,11-1-17.txt,archive/extracted_text/legacy/11-1-17.txt,98,property owner stated,needs_human_review,"Mr. Hyde’s recommendation is that the Planning Commission adopt the findings and conclusions herein and recommend the County Commissioners’ approval of this rezone, requested by Integrated Water Management, changing approximately 1,101.41 acres of land from Agricultural (A-5) to Industrial.  Mr. Hyde asked if there were any questions of the staff report.  Commissioner Drake asked about the white properties on the map. Mr. Hyde stated they were private parcels southeast of the landfill.  With no other questions from the Planning Commission the applicant was invited to speak.  Nate Robinson, applicant and manager at Integrated Water Management. Mr. Robinson stated IWM already employs about 250 to 300 workers throughout the basin. The expansion of this Industrial zone will not only help IWM but hopefully many other businesses will either move to the county or to the Duchesne area.  Commissioner Giles asked if there were any questions for the applicant. There were none.  With no one in the audience to speak in favor of the applicant’s request the people in opposition were invited to speak.  Jeanne Henry, a nearby property owner stated her concerns about the kinds of business that might move here and the damage they will impose on the residents already in the area. Mrs. Henry asked if the landfill will be able to expand to their south property line?  Along with that there is more dust, smell, trash and the gases from the oil well locations at night.","Mr. Hyde stated the interest of the applicants is to rezone the property and create more land suitable for businesses associated with the energy industry. Mr. Hyde’s recommendation is that the Planning Commission adopt the findings and conclusions herein and recommend the County Commissioners’ approval of this rezone, requested by Integrated Water Management, changing approximately 1,101.41 acres of land from Agricultural (A-5) to Industrial.  Mr. Hyde asked if there were any questions of the staff report.  Commissioner Drake asked about the white properties on the map. Mr. Hyde stated they were private parcels southeast of the landfill.  With no other questions from the Planning Commission the applicant was invited to speak.  Nate Robinson, applicant and manager at Integrated Water Management. Mr. Robinson stated IWM already employs about 250 to 300 workers throughout the basin. The expansion of this Industrial zone will not only help IWM but hopefully many other businesses will either move to the county or to the Duchesne area.  Commissioner Giles asked if there were any questions for the applicant. There were none.  With no one in the audience to speak in favor of the applicant’s request the people in opposition were invited to speak.  Jeanne Henry, a nearby property owner stated her concerns about the kinds of business that might move here and the damage they will impose on the residents already in the area. Mrs. Henry asked if the landfill will be able to expand to their south property line?  Along with that there is more dust, smell, trash and the gases from the oil well locations at night. 4 Mr. Hyde stated the possible businesses mentioned in the application include frac sand storage and a crude oil transportation company trucking terminal. The landfill already owns the property around the landfill and will be able to expand if they need to. Mr. Hyde also explained they do own property in an active oilfield area which includes some dust, odors and heavy truck traffic.  Edward Henry, an adjoining property owner, stated his concerns which included the impact on the property values, what kinds of business will be allowed and he commented on the odors in the area and effects he feels on the public and animals.  John Beck, a concerned citizen, stated when he moved here in 2009 this was a beautiful area. Now it is filled with oil locations, lighting problems and it stinks. He is concerned Industrial properties are taking over.  Allen Rydman, a concerned citizen, stated this is a residential area being taken over by county zoning and Industrial ordinances.  Kelcey Carter, an independent landman for EP, remained neutral and is not opposed to the rezone.  With no other comments in opposition to the applicant’s proposal Mr. Robinson was invited to speak in rebuttal.  Mr. Robinson stated some of the business interest might include multiple crude hauler facilities, Peak Well Service from the Roosevelt area and a couple of frac sand companies.  IWM has no intentions of developing any new evaporation ponds at this location.  Commissioner Wells asked if these business were interested to save travel time and for storage closer to the locations on the west side of the county. Mr. Robinson replied yes.  Commissioner Lindsay asked if this was the property that was approved for a sand pit for EP a few months ago. Mr. Hyde stated it is.  There was some discussion with Mr. Hyde, Mrs. Henry and the Commission about Knights Ranches and how they are environmentally affecting the area and the need to work with the TriCounty Health to address the environmental issues and the Utah DEQ.  Commissioner Giles asked if there were any other comments. There were none so the hearing was closed.  Commissioner Moon moved that the Planning Commission adopt the findings and conclusions herein and recommend the County Commissioners’ approval of this rezone, requested by Integrated Water Management, changing approximately 1,101.41 acres of land from Agricultural (A-5) to Industrial. Commissioner Roberts seconded the motion and it passed unanimously.",2026-06-11T19:21:58
candidate_01033,26,Duchesne,Air Quality / Odor,11-1-17.txt,archive/extracted_text/legacy/11-1-17.txt,100,adjoining property owner; heavy truck; truck traffic,needs_human_review,"Mr. Hyde stated the possible businesses mentioned in the application include frac sand storage and a crude oil transportation company trucking terminal. The landfill already owns the property around the landfill and will be able to expand if they need to. Mr. Hyde also explained they do own property in an active oilfield area which includes some dust, odors and heavy truck traffic.  Edward Henry, an adjoining property owner, stated his concerns which included the impact on the property values, what kinds of business will be allowed and he commented on the odors in the area and effects he feels on the public and animals.  John Beck, a concerned citizen, stated when he moved here in 2009 this was a beautiful area. Now it is filled with oil locations, lighting problems and it stinks. He is concerned Industrial properties are taking over.  Allen Rydman, a concerned citizen, stated this is a residential area being taken over by county zoning and Industrial ordinances.  Kelcey Carter, an independent landman for EP, remained neutral and is not opposed to the rezone.  With no other comments in opposition to the applicant’s proposal Mr. Robinson was invited to speak in rebuttal.  Mr. Robinson stated some of the business interest might include multiple crude hauler facilities, Peak Well Service from the Roosevelt area and a couple of frac sand companies.  IWM has no intentions of developing any new evaporation ponds at this location.  Commissioner Wells asked if these business were interested to save travel time and for storage closer to the locations on the west side of the county. Mr. Robinson replied yes.  Commissioner Lindsay asked if this was the property that was approved for a sand pit for EP a few months ago. Mr. Hyde stated it is.  There was some discussion with Mr. Hyde, Mrs. Henry and the Commission about Knights Ranches and how they are environmentally affecting the area and the need to work with the TriCounty Health to address the environmental issues and the Utah DEQ.  Commissioner Giles asked if there were any other comments. There were none so the hearing was closed.  Commissioner Moon moved that the Planning Commission adopt the findings and conclusions herein and recommend the County Commissioners’ approval of this rezone, requested by Integrated Water Management, changing approximately 1,101.41 acres of land from Agricultural (A-5) to Industrial. Commissioner Roberts seconded the motion and it passed unanimously.","Mr. Hyde’s recommendation is that the Planning Commission adopt the findings and conclusions herein and recommend the County Commissioners’ approval of this rezone, requested by Integrated Water Management, changing approximately 1,101.41 acres of land from Agricultural (A-5) to Industrial.  Mr. Hyde asked if there were any questions of the staff report.  Commissioner Drake asked about the white properties on the map. Mr. Hyde stated they were private parcels southeast of the landfill.  With no other questions from the Planning Commission the applicant was invited to speak.  Nate Robinson, applicant and manager at Integrated Water Management. Mr. Robinson stated IWM already employs about 250 to 300 workers throughout the basin. The expansion of this Industrial zone will not only help IWM but hopefully many other businesses will either move to the county or to the Duchesne area.  Commissioner Giles asked if there were any questions for the applicant. There were none.  With no one in the audience to speak in favor of the applicant’s request the people in opposition were invited to speak.  Jeanne Henry, a nearby property owner stated her concerns about the kinds of business that might move here and the damage they will impose on the residents already in the area. Mrs. Henry asked if the landfill will be able to expand to their south property line?  Along with that there is more dust, smell, trash and the gases from the oil well locations at night. 4 Mr. Hyde stated the possible businesses mentioned in the application include frac sand storage and a crude oil transportation company trucking terminal. The landfill already owns the property around the landfill and will be able to expand if they need to. Mr. Hyde also explained they do own property in an active oilfield area which includes some dust, odors and heavy truck traffic.  Edward Henry, an adjoining property owner, stated his concerns which included the impact on the property values, what kinds of business will be allowed and he commented on the odors in the area and effects he feels on the public and animals.  John Beck, a concerned citizen, stated when he moved here in 2009 this was a beautiful area. Now it is filled with oil locations, lighting problems and it stinks. He is concerned Industrial properties are taking over.  Allen Rydman, a concerned citizen, stated this is a residential area being taken over by county zoning and Industrial ordinances.  Kelcey Carter, an independent landman for EP, remained neutral and is not opposed to the rezone.  With no other comments in opposition to the applicant’s proposal Mr. Robinson was invited to speak in rebuttal.  Mr. Robinson stated some of the business interest might include multiple crude hauler facilities, Peak Well Service from the Roosevelt area and a couple of frac sand companies.  IWM has no intentions of developing any new evaporation ponds at this location.  Commissioner Wells asked if these business were interested to save travel time and for storage closer to the locations on the west side of the county. Mr. Robinson replied yes.  Commissioner Lindsay asked if this was the property that was approved for a sand pit for EP a few months ago. Mr. Hyde stated it is.  There was some discussion with Mr. Hyde, Mrs. Henry and the Commission about Knights Ranches and how they are environmentally affecting the area and the need to work with the TriCounty Health to address the environmental issues and the Utah DEQ.  Commissioner Giles asked if there were any other comments. There were none so the hearing was closed.  Commissioner Moon moved that the Planning Commission adopt the findings and conclusions herein and recommend the County Commissioners’ approval of this rezone, requested by Integrated Water Management, changing approximately 1,101.41 acres of land from Agricultural (A-5) to Industrial. Commissioner Roberts seconded the motion and it passed unanimously.",2026-06-11T19:21:58
candidate_02607,24,Unknown,Air Quality / Odor,September-5-2012.txt,archive/extracted_text/legacy/September-5-2012.txt,396,h2s,needs_human_review,"July 26, 2012:  TriCounty Health Department inspected the facility and found no H2S","be initiated. July 26, 2012:  TriCounty Health Department inspected the facility and found no H2S gas present.  Their follow-up letter dated August 7, 2012 requested that a public hearing be held to address nuisance odors reported by residents in the area.",2026-06-11T19:22:00
candidate_02608,24,Unknown,Air Quality / Odor,September-5-2012.txt,archive/extracted_text/legacy/September-5-2012.txt,398,nuisance; nuisance odors,needs_human_review,hearing be held to address nuisance odors reported by residents in the area.,"July 26, 2012:  TriCounty Health Department inspected the facility and found no H2S gas present.  Their follow-up letter dated August 7, 2012 requested that a public hearing be held to address nuisance odors reported by residents in the area. On August 6, 2012, Integrated Water Management repo rted that they have installed",2026-06-11T19:22:00
candidate_00768,22,Duchesne,Noise / Vibration,07-11-18.txt,archive/extracted_text/legacy/07-11-18.txt,202,adjoining property owner; nuisance,needs_human_review,3. The applicant shall restrict hours of activity at the junk yard to those permitted by the Noise Disturbance section of the Duchesne County Nuisance Ordinance (7 AM to 9:30 PM).  Mr. Hyde stated there are 2 letters in your packets one from Mr. Taylor stating what his intentions are making sure the surrounding property owners are not affected by his proposal the other one is from an adjoining property owner completely opposed to the Taylors proposal stating if will affect the value of their property.  Mr. Hyde asked if there were any questions of the staff report.  Commissioner’s Lindsay and Moon are concerned about the 6’high dirt berm that is a lot of dirt on that windy bench.,"b. Obtain an approval of the facility or an exemption from the Utah DEQ Water Quality Division. 3. The applicant shall restrict hours of activity at the junk yard to those permitted by the Noise Disturbance section of the Duchesne County Nuisance Ordinance (7 AM to 9:30 PM).  Mr. Hyde stated there are 2 letters in your packets one from Mr. Taylor stating what his intentions are making sure the surrounding property owners are not affected by his proposal the other one is from an adjoining property owner completely opposed to the Taylors proposal stating if will affect the value of their property.  Mr. Hyde asked if there were any questions of the staff report.  Commissioner’s Lindsay and Moon are concerned about the 6’high dirt berm that is a lot of dirt on that windy bench. 6 Commissioner  Clark asked if he had any of the permits he will need. Mr. Taylor stated they are working on them.  With no other comments of questions Chairman Wells invited the applicant to speak.  Jeremy and Natalie Taylor, the applicants stated during a power point presentation this property was not going to be a junk yard, just storage for a few cars and supplies mostly for derby cars. He has a home on the next lot to the east that he rents out and they use the property for recreation on the weekends they are in town.  Mr. Taylor hopes to use the back 300 feet of the lot and prefers to use a dirt berm rather than a fence as he has one for the dirt bike trail for his children they keep it watered and it stays crusty. The applicants have indicated they would like a little more time to comply with the conditions of approval.   Mr. Taylor also wonders if he is being singled out or if these rules apply to everyone?  He stated and has photos of many other residences and farmer fields that have a lot more junk on their properties and they don’t have to get a conditional use permit.  Mr. Taylor asked if there were any questions.  Commissioner Lindsay stated a dirt berm would have to be 12’ wide at the base to be 6’high.  Commissioner Clark asked if he had a contractor to build the berm. Mr. Taylor replied yes he did.",2026-06-11T19:21:58
candidate_01428,22,Duchesne,Air Quality / Odor,April-3-2013.txt,archive/extracted_text/legacy/April-3-2013.txt,164,complaint; complaints,needs_human_review,complaints.,"was talking about the Pro Water Blue Bench facility  rather than the IWM facility.) Mr. Hyde referred Mr. Pilling to DOGM and Tri-County Health if he has health issues and complaints. Allen Rydman, a property owner stated there has not been any odors since mid-",2026-06-11T19:21:59
candidate_01429,22,Unknown,Air Quality / Odor,April-3-2013.txt,archive/extracted_text/legacy/April-3-2013.txt,166,property owner stated,needs_human_review,"Allen Rydman, a property owner stated there has not been any odors since mid-","complaints. Allen Rydman, a property owner stated there has not been any odors since mid- December. He wonders why, all of a sudden, there are no odors and what is IWM going to do to keep them from returning.",2026-06-11T19:21:59
candidate_01553,22,Unknown,Air Quality / Odor,August-5-2009.txt,archive/extracted_text/legacy/August-5-2009.txt,92,complaint,needs_human_review,that the complaint log shows sufficient progress. An additional 30-day period can be,"Mr. Hyde stated it is his recommendation to the Planning Commission that the operators of this facility have taken prompt action to control and eliminate odors, and that the complaint log shows sufficient progress. An additional 30-day period can be granted to allow odor control measures to more fully take effect.  The public hearing should be recessed to September 2, 2009 under this option.",2026-06-11T19:21:59
candidate_01639,22,Uintah,Dust / PM,December-1-2021.txt,archive/extracted_text/legacy/December-1-2021.txt,191,public hearing,needs_human_review,"Mr. Hyde noted that there are “Right to Farm” laws and tools such as Agricultural Protection Zones that can be used to address the incompatibility issues.  Tracy Killian spoke; noting that he has close to 1,000 head of cattle and that residential development south of Roosevelt keeps getting closer.  He is concerned whether this proposed ordinance would affect his operation.  Mr. Hyde indicated that the proposed ordinance would regulate new Large CAFOs; not existing ones.  Commissioner Wells inquired what other counties are doing and could they establish operations near the border that could affect Duchesne County?  Mr. Gottfredson noted that there was a cross-jurisdictional problem at the boundary between Garfield and Piute counties.  A Large CAFO was permitted in Garfield County, located about 500 feet away from the town of Circleville in Piute County.  Mr. Hyde noted that our neighboring counties are considering this issue as well and that any CAFOs in Uintah County would be downwind from Duchesne County; given the prevailing winds.  Brandon Hartman spoke; questioning whether existing animal feeding operations would be able to expand into Large CAFO status if they are located outside of the proposed map area?  The County should not prevent local cattlemen from growing their herds.  Mr. Hyde replied that the proposed ordinance is intended for new Large CAFOs, with feeding occurring at one location as opposed to operations that may have feeding locations spread across several parcels.  Brandon Bench spoke, indicating that the proposed CAFO area is not an area with potential to grow feed and not an area with existing fields that manure could be applied to.  Dustin Lemon spoke and suggested that the ordinance clarify whether change in ownership or operator would jeopardize the grandfathered status of an existing Large CAFO.  Dave Evans spoke and stressed the need of operators to grow to stay solvent and to feed a growing population.  Darrell Gillman spoke and noted that the NRCS no longer recommends the use of anaerobic digesters in many instances.  He encouraged the Commission to table the matter to allow a work group to meet and discuss amending the ordinance and map to address the questions raised tonight.  Chairman Sorensen called for discussion and inquired who among the attendees would be willing to serve on a working group.  The following individuals were appointed to the working group:  Dave Evans, Chet Hansen, Conley Moon, Troy Cooper, Darrell Gillman, Tracy Killian, Tom Henderson and Mali Harrison.  Commissioner Wells made a motion to recess this public hearing until January 5, 2021 to allow time for the working group to meet and make recommendations.  Commissioner Sweat seconded the motion and it passed unanimously.","Mr. Hyde noted that there are “Right to Farm” laws and tools such as Agricultural Protection Zones that can be used to address the incompatibility issues.  Tracy Killian spoke; noting that he has close to 1,000 head of cattle and that residential development south of Roosevelt keeps getting closer.  He is concerned whether this proposed ordinance would affect his operation.  Mr. Hyde indicated that the proposed ordinance would regulate new Large CAFOs; not existing ones.  Commissioner Wells inquired what other counties are doing and could they establish operations near the border that could affect Duchesne County?  Mr. Gottfredson noted that there was a cross-jurisdictional problem at the boundary between Garfield and Piute counties.  A Large CAFO was permitted in Garfield County, located about 500 feet away from the town of Circleville in Piute County.  Mr. Hyde noted that our neighboring counties are considering this issue as well and that any CAFOs in Uintah County would be downwind from Duchesne County; given the prevailing winds.  Brandon Hartman spoke; questioning whether existing animal feeding operations would be able to expand into Large CAFO status if they are located outside of the proposed map area?  The County should not prevent local cattlemen from growing their herds.  Mr. Hyde replied that the proposed ordinance is intended for new Large CAFOs, with feeding occurring at one location as opposed to operations that may have feeding locations spread across several parcels.  Brandon Bench spoke, indicating that the proposed CAFO area is not an area with potential to grow feed and not an area with existing fields that manure could be applied to.  Dustin Lemon spoke and suggested that the ordinance clarify whether change in ownership or operator would jeopardize the grandfathered status of an existing Large CAFO.  Dave Evans spoke and stressed the need of operators to grow to stay solvent and to feed a growing population.  Darrell Gillman spoke and noted that the NRCS no longer recommends the use of anaerobic digesters in many instances.  He encouraged the Commission to table the matter to allow a work group to meet and discuss amending the ordinance and map to address the questions raised tonight.  Chairman Sorensen called for discussion and inquired who among the attendees would be willing to serve on a working group.  The following individuals were appointed to the working group:  Dave Evans, Chet Hansen, Conley Moon, Troy Cooper, Darrell Gillman, Tracy Killian, Tom Henderson and Mali Harrison.  Commissioner Wells made a motion to recess this public hearing until January 5, 2021 to allow time for the working group to meet and make recommendations.  Commissioner Sweat seconded the motion and it passed unanimously. Planning Commission Minutes December 1, 2021",2026-06-11T19:21:59
candidate_02059,22,Unknown,Dust / PM,June-4-2014.txt,archive/extracted_text/legacy/June-4-2014.txt,284,resident stated,needs_human_review,"Brett Anderson, an area resident stated his concern s about the traffic and the dust. He","with no one else to speak in favor, anyone in opposition was invited to speak. Brett Anderson, an area resident stated his concern s about the traffic and the dust. He asked Mr. Hyde how long the permit is good for and who to call when there are complaints about the trucks and dust issues. Mr. Hyde replied the permits are good as",2026-06-11T19:21:59
